YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 09 04 21 50 179  2.9  3.4  0.79  7.14  5.41 267 1018.2  17.4  18.2 999.0 99.0 99.00
2013 09 04 22 50 189  3.0  3.5  0.76 12.12  5.45 194 1018.0  17.6  18.3 999.0 99.0 99.00
2013 09 04 23 50 204  2.9  3.7  0.78 12.12  5.73 153 1017.7  17.8  18.4 999.0 99.0 99.00
2013 09 05 00 50 208  1.9  2.3  0.79 12.90  5.87   2 1017.4  17.9  18.7 999.0 99.0 99.00
2013 09 05 01 50 245  1.1  1.5  0.85 12.90  6.02 220 1017.1  17.8  18.7 999.0 99.0 99.00
2013 09 05 02 50 293  1.1  1.5  0.77  7.14  5.56 256 1017.1  17.6  18.6 999.0 99.0 99.00
2013 09 05 03 50  86  2.3  2.7  0.86  7.14  5.69 254 1017.4  17.3  18.4 999.0 99.0 99.00
2013 09 05 04 50  96  1.9  3.3  0.80  7.14  5.62 269 1017.8  17.3  18.1 999.0 99.0 99.00
2013 09 05 05 50 132  1.7  2.1  0.81  6.67  5.74 248 1017.9  17.1  17.9 999.0 99.0 99.00
2013 09 05 06 50 116  1.2  1.9  0.76 12.12  5.87 241 1017.4  17.0  17.8 999.0 99.0 99.00
2013 09 05 07 50 350  1.6  2.1  0.78 12.90  5.96 136 1017.3  16.9  17.8 999.0 99.0 99.00
2013 09 05 08 50 180  0.0  0.3  0.85 12.90  6.01 218 1017.2  16.5  17.7 999.0 99.0 99.00
2013 09 05 09 50 322  1.7  2.2  0.79 12.90  5.99 146 1016.9  16.9  17.7 999.0 99.0 99.00
2013 09 05 10 50 358  2.4  2.9  0.76 12.90  6.17 212 1016.7  17.1  17.9 999.0 99.0 99.00
2013 09 05 11 50  27  2.3  3.1  0.69 12.12  6.23 222 1016.7  17.0  17.8 999.0 99.0 99.00
2013 09 05 12 50  21  2.6  3.1  0.74 12.12  6.40 229 1017.0  16.8  17.8 999.0 99.0 99.00
2013 09 05 13 50   4  4.1  4.8  0.66 12.12  6.36 225 1017.1  16.9  17.7 999.0 99.0 99.00
2013 09 05 14 50  17  3.6  4.4  0.73 12.90  6.81 201 1017.4  17.0  17.7 999.0 99.0 99.00
2013 09 05 15 50 339  4.1  4.9  0.69 12.90  6.53 184 1017.4  17.1  17.8 999.0 99.0 99.00
2013 09 05 16 50 318  3.7  4.6  0.69 11.43  6.17 203 1017.4  17.3  17.9 999.0 99.0 99.00
2013 09 05 17 50 338  4.8  5.4  0.65 11.43  6.06   9 1017.3  17.5  17.8 999.0 99.0 99.00
2013 09 05 18 50 342  6.0  7.2  0.69 11.43  5.35 263 1017.1  17.7  17.9 999.0 99.0 99.00
2013 09 05 19 50 337  5.1  6.5  0.74 11.43  4.59 263 1017.8  17.8  17.8 999.0 99.0 99.00
2013 09 05 20 50 318  4.1  5.5  0.79 12.12  4.92 274 9999.0  17.3  17.8 999.0 99.0 99.00
2013 09 05 21 50 321  6.3  7.4  0.76 11.43  5.15 241 1017.5  17.5  17.7 999.0 99.0 99.00
2013 09 05 22 50 334  5.6  7.1  0.78 11.43  4.69 297 1018.1  17.3  17.6 999.0 99.0 99.00
2013 09 05 23 50 306  3.8  4.9  0.77 12.12  4.85 148 1018.4  16.8  17.5 999.0 99.0 99.00
2013 09 06 00 50 288  5.5  6.4  0.77 11.43  4.75 265 1018.0  17.2  17.5 999.0 99.0 99.00
2013 09 06 01 50 295  5.4  6.2  0.80 12.12  4.99 248 1018.0  17.5  17.4 999.0 99.0 99.00
2013 09 06 02 50 306  5.7  6.8  0.81 10.81  4.80 333 1018.2  17.5  17.4 999.0 99.0 99.00
2013 09 06 03 50 296  5.3  6.6  0.92 11.43  5.16 286 1018.5  18.0  17.5 999.0 99.0 99.00
2013 09 06 04 50 280  4.3  5.0  0.92 11.43  5.02 306 1018.9  17.6  17.6 999.0 99.0 99.00
2013 09 06 05 50 278  5.7  6.8 99.00 99.00 99.00 999 1018.8  17.9  17.7 999.0 99.0 99.00
2013 09 06 06 50 281  5.4  6.4  1.03 10.81  5.24 271 1019.0  18.0  17.8 999.0 99.0 99.00
2013 09 06 07 50 283  5.4  6.3  1.05 10.81  5.28 301 1019.2  18.1  17.8 999.0 99.0 99.00
2013 09 06 08 50 291  6.4  7.7  1.14 10.00  5.34 298 1019.0  18.1  17.8 999.0 99.0 99.00
2013 09 06 09 50 292  7.0  8.4  1.17 10.00  5.24 324 1019.3  18.1  17.6 999.0 99.0 99.00
2013 09 06 10 50 295  6.8  8.4  1.41 11.43  5.54 273 1019.2  18.0  17.5 999.0 99.0 99.00
2013 09 06 11 50 290  7.2  8.6  1.30 12.90  4.98 252 1019.3  17.9  17.2 999.0 99.0 99.00
2013 09 06 13 50 294  6.5  8.3  1.46 13.79  5.52 265 1020.1  18.0  16.8 999.0 99.0 99.00
2013 09 06 15 50 295  6.0  7.4  1.52 12.90  5.80 284 1020.9  18.0  16.8 999.0 99.0 99.00
2013 09 06 16 50 296  4.6  5.6  1.73  6.25  5.97 313 1021.1  18.0  17.0 999.0 99.0 99.00
2013 09 06 17 50 272  2.7  3.3  1.72 12.90  6.21 280 1021.3  18.0  17.2 999.0 99.0 99.00
2013 09 06 18 50 252  3.3  4.6  1.78 12.90  6.83 304 1021.2  17.8  17.3 999.0 99.0 99.00
2013 09 06 19 50 258  3.0  3.7  1.98 12.90  7.09 301 1021.1  18.0  17.7 999.0 99.0 99.00
2013 09 06 20 50 289  3.4  4.4  2.05 12.90  6.85 295 1021.4  18.2  17.6 999.0 99.0 99.00
2013 09 06 21 50 288  4.8  5.9  2.11 12.90  6.94 285 1021.3  18.0  17.6 999.0 99.0 99.00
2013 09 06 22 50 276  3.3  4.4  2.33  8.33  6.99 317 1021.3  16.3  17.5 999.0 99.0 99.00
2013 09 06 23 50 283  2.8  3.6  2.23  7.69  6.91 323 1021.1  17.1  17.6 999.0 99.0 99.00
2013 09 07 00 50 225  2.0  2.6  2.27  9.09  7.15 320 1020.9  17.0  17.4 999.0 99.0 99.00
2013 09 07 01 50 202  2.3  2.9  2.13 12.90  7.22 270 1020.5  16.9  17.2 999.0 99.0 99.00
2013 09 07 02 50 191  2.1  2.8  2.05 12.12  7.25 299 1020.5  16.9  17.3 999.0 99.0 99.00
2013 09 07 03 50 323  2.1  3.1  1.88 11.43  7.05 303 1020.6  17.5  17.3 999.0 99.0 99.00
2013 09 07 04 50 158  0.9  1.7  1.99  9.09  7.29 318 1020.4  17.2  17.1 999.0 99.0 99.00
2013 09 07 05 50 142  0.6  1.2  1.89  9.09  7.29 320 1020.0  17.2  17.7 999.0 99.0 99.00
